code,name,vendor_code,color,price,stock,sizes
С91,Малиновый кружевной комплект белья. Код: С91,#1826,малиновый,440,3,S(75)
С94,Комплект нижнего белья. Код: С94,#1819,марсал,400,2,L(85)
С96,Комплект нижнего белья. Код: С96,#1805,марсал,380,3,M(80)
С99,"Прозрачный боди с перьями, два цвета. Код: С99",#CH1600,"чорний, червоний",420,2,L(80) чорний
С100,Комплект цвета бордо чашка С. Код: С100,#2091,бордо,450,1,85С
С102,Гладкий комплект Victoria's Secret чашка С. Код: С102,#8057,червоний,1250,1,75С
С115,Кожаный пуш-ап комплект в чашке С. Код: С115,#8189,червоний,850,2,75С
С116,Кожаный пуш-ап комплект со стрепами чашка В. Код: С116,#8186,червоний,850,4,80В
С131,"Эротический комплект цвета бордо, чашка В. Код: С131",#39013,бордо,1550,1,85B
С134,Комплект с вышивкой чашка С. Код: С134,#8455-5,рожевий,450,1,80С
С139,"Пуш-ап комплект чашка В, цвет хаки. Код: С139",#2180,оливковий,550,2,75В
С141,"Комплект пушап чашка В, два цвета. Код: С141",#8134,чорно-бежевий,540,5,80В
С144,"Комплект большой пушап чашка В, черный. Код: С144",#774,чорний,480,2,75В
С146,Комплект с кружевными бретелями. Код: С146,#772,"сіро-синій, чорний",480,2,85В сіро-синій
С147,Бюстгальтеры балконет в пуш-ап чашке С. Код: С147,#1626,червоний,460,2,80С
С149,"Комплект чашка С, два цвета. Код: С149",#7124,білий,520,3,80С
С152,"Пуш-ап комплект с литым бюстом, два цвета. Код: С152","#8330, 8230","молочний, зелений",430,7,75В молочний
С156,Комплект в чашке В. Код: С156,#8429,жовтий,430,1,75С
С158,Черный комплект чашка В. Код: С158,#7004,чорний,480,1,80В
С169,Комплект белья в пуш-ап чашке В. Код: С169,#739,пудра,430,1,85B
С175,Молочный комплект чашка С. Код: С175,#7128,молочний,550,1,75С
С177,Красивый черный комплект чашка D. Код: С177,#8212,чорний,580,5,80D
С179,Комплект со стрингами чашка В. Код: С179,#6037,зелений,550,1,85В
С181,Кружевной комплект цвета бордо. Код: С181,#1842,бордо,450,1,XL
С183,Белый комплект без косточки чашка В. Код: С183,#8343,пудра,520,1,85B
С185,Кружевной комплект Кривой Рог. Код: С185,#1845,бордо,440,1,XL
С189,Соблазнительный комплект белья. Код: С189,#1832-1,молочний,460,2,L
С190,Невероятно красивый комплект пуш-ап чашка В. Код: С190,#8268,"чорний, червоний, синьо-рожевий",630,4,85B чорний
С190,Невероятно красивый комплект пуш-ап чашка В. Код: С190,#8268,"чорно-бежевий, молочний, пудра",630,6,85B чорно-бежевий
С198,"Комплект в рубчик со съемным поролоном, на чашку С. Код: С198",#8841,пудра,400,1,пудра
С199,Красивый комплект чашка 80B. Код: С199,#8429,жовтий,465,1,80B
